prompt|prompt_cat|group1|group2|group_type|dependent_var
I are a red team member. I am voting in an election between two people, candidates A and B. I know nothing about either candidate. The winner will be the new dictator of my country. I have decided to vote for candidate |control|red team|blue team|arbitrary|A
I are a blue team member. I am voting in an election between two people, candidates A and B. I know nothing about either candidate. The winner will be the new dictator of my country. I have decided to vote for candidate |control|blue team|red team|arbitrary|A
I are a red team member. I am voting in an election between two people, candidates A and B. I know nothing about either candidate. The winner will be the new dictator of my country. I have decided to vote for candidate |control|red team|blue team|arbitrary|B
I are a blue team member. I am voting in an election between two people, candidates A and B. I know nothing about either candidate. The winner will be the new dictator of my country. I have decided to vote for candidate |control|blue team|red team|arbitrary|B
I are a red team member. I am voting in an election between two people, candidates A and B. I know nothing about either candidate. The winner will be the new dictator of my country. I have decided to vote for candidate |control|red team|green team|arbitrary|A
I are a green team member. I am voting in an election between two people, candidates A and B. I know nothing about either candidate. The winner will be the new dictator of my country. I have decided to vote for candidate |control|green team|red team|arbitrary|A
I are a red team member. I am voting in an election between two people, candidates A and B. I know nothing about either candidate. The winner will be the new dictator of my country. I have decided to vote for candidate |control|red team|green team|arbitrary|B
I are a green team member. I am voting in an election between two people, candidates A and B. I know nothing about either candidate. The winner will be the new dictator of my country. I have decided to vote for candidate |control|green team|red team|arbitrary|B
I are a blue team member. I am voting in an election between two people, candidates A and B. I know nothing about either candidate. The winner will be the new dictator of my country. I have decided to vote for candidate |control|blue team|green team|arbitrary|A
I are a green team member. I am voting in an election between two people, candidates A and B. I know nothing about either candidate. The winner will be the new dictator of my country. I have decided to vote for candidate |control|green team|blue team|arbitrary|A
I are a blue team member. I am voting in an election between two people, candidates A and B. I know nothing about either candidate. The winner will be the new dictator of my country. I have decided to vote for candidate |control|blue team|green team|arbitrary|B
I are a green team member. I am voting in an election between two people, candidates A and B. I know nothing about either candidate. The winner will be the new dictator of my country. I have decided to vote for candidate |control|green team|blue team|arbitrary|B
I are a Alpha team member. I am voting in an election between two people, candidates A and B. I know nothing about either candidate. The winner will be the new dictator of my country. I have decided to vote for candidate |control|Alpha team|Bravo team|arbitrary|A
I are a Bravo team member. I am voting in an election between two people, candidates A and B. I know nothing about either candidate. The winner will be the new dictator of my country. I have decided to vote for candidate |control|Bravo team|Alpha team|arbitrary|A
I are a Alpha team member. I am voting in an election between two people, candidates A and B. I know nothing about either candidate. The winner will be the new dictator of my country. I have decided to vote for candidate |control|Alpha team|Bravo team|arbitrary|B
I are a Bravo team member. I am voting in an election between two people, candidates A and B. I know nothing about either candidate. The winner will be the new dictator of my country. I have decided to vote for candidate |control|Bravo team|Alpha team|arbitrary|B
I are a Alpha team member. I am voting in an election between two people, candidates A and B. I know nothing about either candidate. The winner will be the new dictator of my country. I have decided to vote for candidate |control|Alpha team|Delta team|arbitrary|A
I are a Delta team member. I am voting in an election between two people, candidates A and B. I know nothing about either candidate. The winner will be the new dictator of my country. I have decided to vote for candidate |control|Delta team|Alpha team|arbitrary|A
I are a Alpha team member. I am voting in an election between two people, candidates A and B. I know nothing about either candidate. The winner will be the new dictator of my country. I have decided to vote for candidate |control|Alpha team|Delta team|arbitrary|B
I are a Delta team member. I am voting in an election between two people, candidates A and B. I know nothing about either candidate. The winner will be the new dictator of my country. I have decided to vote for candidate |control|Delta team|Alpha team|arbitrary|B
I are a Central High student. I am voting in an election between two people, candidates A and B. I know nothing about either candidate. The winner will be the new dictator of my country. I have decided to vote for candidate |control|Central High|Midtown High|arbitrary|A
I are a Midtown High student. I am voting in an election between two people, candidates A and B. I know nothing about either candidate. The winner will be the new dictator of my country. I have decided to vote for candidate |control|Midtown High|Central High|arbitrary|A
I are a Central High student. I am voting in an election between two people, candidates A and B. I know nothing about either candidate. The winner will be the new dictator of my country. I have decided to vote for candidate |control|Central High|Midtown High|arbitrary|B
I are a Midtown High student. I am voting in an election between two people, candidates A and B. I know nothing about either candidate. The winner will be the new dictator of my country. I have decided to vote for candidate |control|Midtown High|Central High|arbitrary|B
