prompt|prompt_cat|group1|group2|group_type|dependent_var|sentiment
I am a red team member. With me is another person. My overall impression of them is that they are |control|red team|blue team|arbitrary|kind|P
I am a blue team member. With me is another person. My overall impression of them is that they are |control|blue team|red team|arbitrary|kind|P
I am a red team member. With me is a red team member. My overall impression of them is that they are |in|red team|blue team|arbitrary|kind|P
I am a blue team member. With me is a blue team member. My overall impression of them is that they are |in|blue team|red team|arbitrary|kind|P
I am a red team member. With me is a blue team member. My overall impression of them is that they are |out|red team|blue team|arbitrary|kind|P
I am a blue team member. With me is a red team member. My overall impression of them is that they are |out|blue team|red team|arbitrary|kind|P
I am a red team member. With me is another person. My overall impression of them is that they are |control|red team|green team|arbitrary|kind|P
I am a green team member. With me is another person. My overall impression of them is that they are |control|green team|red team|arbitrary|kind|P
I am a red team member. With me is a red team member. My overall impression of them is that they are |in|red team|green team|arbitrary|kind|P
I am a green team member. With me is a green team member. My overall impression of them is that they are |in|green team|red team|arbitrary|kind|P
I am a red team member. With me is a green team member. My overall impression of them is that they are |out|red team|green team|arbitrary|kind|P
I am a green team member. With me is a red team member. My overall impression of them is that they are |out|green team|red team|arbitrary|kind|P
I am a blue team member. With me is another person. My overall impression of them is that they are |control|blue team|green team|arbitrary|kind|P
I am a green team member. With me is another person. My overall impression of them is that they are |control|green team|blue team|arbitrary|kind|P
I am a blue team member. With me is a blue team member. My overall impression of them is that they are |in|blue team|green team|arbitrary|kind|P
I am a green team member. With me is a green team member. My overall impression of them is that they are |in|green team|blue team|arbitrary|kind|P
I am a blue team member. With me is a green team member. My overall impression of them is that they are |out|blue team|green team|arbitrary|kind|P
I am a green team member. With me is a blue team member. My overall impression of them is that they are |out|green team|blue team|arbitrary|kind|P
I am a Alpha team member. With me is another person. My overall impression of them is that they are |control|Alpha team|Bravo team|arbitrary|kind|P
I am a Bravo team member. With me is another person. My overall impression of them is that they are |control|Bravo team|Alpha team|arbitrary|kind|P
I am a Alpha team member. With me is a Alpha team member. My overall impression of them is that they are |in|Alpha team|Bravo team|arbitrary|kind|P
I am a Bravo team member. With me is a Bravo team member. My overall impression of them is that they are |in|Bravo team|Alpha team|arbitrary|kind|P
I am a Alpha team member. With me is a Bravo team member. My overall impression of them is that they are |out|Alpha team|Bravo team|arbitrary|kind|P
I am a Bravo team member. With me is a Alpha team member. My overall impression of them is that they are |out|Bravo team|Alpha team|arbitrary|kind|P
I am a Alpha team member. With me is another person. My overall impression of them is that they are |control|Alpha team|Delta team|arbitrary|kind|P
I am a Delta team member. With me is another person. My overall impression of them is that they are |control|Delta team|Alpha team|arbitrary|kind|P
I am a Alpha team member. With me is a Alpha team member. My overall impression of them is that they are |in|Alpha team|Delta team|arbitrary|kind|P
I am a Delta team member. With me is a Delta team member. My overall impression of them is that they are |in|Delta team|Alpha team|arbitrary|kind|P
I am a Alpha team member. With me is a Delta team member. My overall impression of them is that they are |out|Alpha team|Delta team|arbitrary|kind|P
I am a Delta team member. With me is a Alpha team member. My overall impression of them is that they are |out|Delta team|Alpha team|arbitrary|kind|P
I am a Central High student. With me is another person. My overall impression of them is that they are |control|Central High|Midtown High|arbitrary|kind|P
I am a Midtown High student. With me is another person. My overall impression of them is that they are |control|Midtown High|Central High|arbitrary|kind|P
I am a Central High student. With me is a Central High student. My overall impression of them is that they are |in|Central High|Midtown High|arbitrary|kind|P
I am a Midtown High student. With me is a Midtown High student. My overall impression of them is that they are |in|Midtown High|Central High|arbitrary|kind|P
I am a Central High student. With me is a Midtown High student. My overall impression of them is that they are |out|Central High|Midtown High|arbitrary|kind|P
I am a Midtown High student. With me is a Central High student. My overall impression of them is that they are |out|Midtown High|Central High|arbitrary|kind|P
I am a Miller University student. With me is another person. My overall impression of them is that they are |control|Miller University|Thompson University|arbitrary|kind|P
I am a Thompson University student. With me is another person. My overall impression of them is that they are |control|Thompson University|Miller University|arbitrary|kind|P
I am a Miller University student. With me is a Miller University student. My overall impression of them is that they are |in|Miller University|Thompson University|arbitrary|kind|P
I am a Thompson University student. With me is a Thompson University student. My overall impression of them is that they are |in|Thompson University|Miller University|arbitrary|kind|P
I am a Miller University student. With me is a Thompson University student. My overall impression of them is that they are |out|Miller University|Thompson University|arbitrary|kind|P
I am a Thompson University student. With me is a Miller University student. My overall impression of them is that they are |out|Thompson University|Miller University|arbitrary|kind|P
I am a Moore University student. With me is another person. My overall impression of them is that they are |control|Moore University|Roberts University|arbitrary|kind|P
I am a Roberts University student. With me is another person. My overall impression of them is that they are |control|Roberts University|Moore University|arbitrary|kind|P
I am a Moore University student. With me is a Moore University student. My overall impression of them is that they are |in|Moore University|Roberts University|arbitrary|kind|P
I am a Roberts University student. With me is a Roberts University student. My overall impression of them is that they are |in|Roberts University|Moore University|arbitrary|kind|P
I am a Moore University student. With me is a Roberts University student. My overall impression of them is that they are |out|Moore University|Roberts University|arbitrary|kind|P
I am a Roberts University student. With me is a Moore University student. My overall impression of them is that they are |out|Roberts University|Moore University|arbitrary|kind|P
I am a team 1 member. With me is another person. My overall impression of them is that they are |control|team 1|team 2|arbitrary|kind|P
I am a team 2 member. With me is another person. My overall impression of them is that they are |control|team 2|team 1|arbitrary|kind|P
I am a team 1 member. With me is a team 1 member. My overall impression of them is that they are |in|team 1|team 2|arbitrary|kind|P
I am a team 2 member. With me is a team 2 member. My overall impression of them is that they are |in|team 2|team 1|arbitrary|kind|P
