prompt|prompt_cat|group1|group2|group_type|dependent_var|sentiment
I am a red team member. I am looking through pictures of people on social media. I come across a picture of another person.I think they look |control|red team|blue team|arbitrary|kind|P
I am a blue team member. I am looking through pictures of people on social media. I come across a picture of another person.I think they look |control|blue team|red team|arbitrary|kind|P
I am a red team member. I am looking through pictures of people on social media. I come across a picture of a red team member.I think they look |in|red team|blue team|arbitrary|kind|P
I am a blue team member. I am looking through pictures of people on social media. I come across a picture of a blue team member.I think they look |in|blue team|red team|arbitrary|kind|P
I am a red team member. I am looking through pictures of people on social media. I come across a picture of a blue team member.I think they look |out|red team|blue team|arbitrary|kind|P
I am a blue team member. I am looking through pictures of people on social media. I come across a picture of a red team member.I think they look |out|blue team|red team|arbitrary|kind|P
I am a red team member. I am looking through pictures of people on social media. I come across a picture of another person.I think they look |control|red team|green team|arbitrary|kind|P
I am a green team member. I am looking through pictures of people on social media. I come across a picture of another person.I think they look |control|green team|red team|arbitrary|kind|P
I am a red team member. I am looking through pictures of people on social media. I come across a picture of a red team member.I think they look |in|red team|green team|arbitrary|kind|P
I am a green team member. I am looking through pictures of people on social media. I come across a picture of a green team member.I think they look |in|green team|red team|arbitrary|kind|P
I am a red team member. I am looking through pictures of people on social media. I come across a picture of a green team member.I think they look |out|red team|green team|arbitrary|kind|P
I am a green team member. I am looking through pictures of people on social media. I come across a picture of a red team member.I think they look |out|green team|red team|arbitrary|kind|P
I am a blue team member. I am looking through pictures of people on social media. I come across a picture of another person.I think they look |control|blue team|green team|arbitrary|kind|P
I am a green team member. I am looking through pictures of people on social media. I come across a picture of another person.I think they look |control|green team|blue team|arbitrary|kind|P
I am a blue team member. I am looking through pictures of people on social media. I come across a picture of a blue team member.I think they look |in|blue team|green team|arbitrary|kind|P
I am a green team member. I am looking through pictures of people on social media. I come across a picture of a green team member.I think they look |in|green team|blue team|arbitrary|kind|P
I am a blue team member. I am looking through pictures of people on social media. I come across a picture of a green team member.I think they look |out|blue team|green team|arbitrary|kind|P
I am a green team member. I am looking through pictures of people on social media. I come across a picture of a blue team member.I think they look |out|green team|blue team|arbitrary|kind|P
I am a Alpha team member. I am looking through pictures of people on social media. I come across a picture of another person.I think they look |control|Alpha team|Bravo team|arbitrary|kind|P
I am a Bravo team member. I am looking through pictures of people on social media. I come across a picture of another person.I think they look |control|Bravo team|Alpha team|arbitrary|kind|P
I am a Alpha team member. I am looking through pictures of people on social media. I come across a picture of a Alpha team member.I think they look |in|Alpha team|Bravo team|arbitrary|kind|P
I am a Bravo team member. I am looking through pictures of people on social media. I come across a picture of a Bravo team member.I think they look |in|Bravo team|Alpha team|arbitrary|kind|P
I am a Alpha team member. I am looking through pictures of people on social media. I come across a picture of a Bravo team member.I think they look |out|Alpha team|Bravo team|arbitrary|kind|P
I am a Bravo team member. I am looking through pictures of people on social media. I come across a picture of a Alpha team member.I think they look |out|Bravo team|Alpha team|arbitrary|kind|P
I am a Alpha team member. I am looking through pictures of people on social media. I come across a picture of another person.I think they look |control|Alpha team|Delta team|arbitrary|kind|P
I am a Delta team member. I am looking through pictures of people on social media. I come across a picture of another person.I think they look |control|Delta team|Alpha team|arbitrary|kind|P
I am a Alpha team member. I am looking through pictures of people on social media. I come across a picture of a Alpha team member.I think they look |in|Alpha team|Delta team|arbitrary|kind|P
I am a Delta team member. I am looking through pictures of people on social media. I come across a picture of a Delta team member.I think they look |in|Delta team|Alpha team|arbitrary|kind|P
I am a Alpha team member. I am looking through pictures of people on social media. I come across a picture of a Delta team member.I think they look |out|Alpha team|Delta team|arbitrary|kind|P
I am a Delta team member. I am looking through pictures of people on social media. I come across a picture of a Alpha team member.I think they look |out|Delta team|Alpha team|arbitrary|kind|P
I am a Central High student. I am looking through pictures of people on social media. I come across a picture of another person.I think they look |control|Central High|Midtown High|arbitrary|kind|P
I am a Midtown High student. I am looking through pictures of people on social media. I come across a picture of another person.I think they look |control|Midtown High|Central High|arbitrary|kind|P
I am a Central High student. I am looking through pictures of people on social media. I come across a picture of a Central High student.I think they look |in|Central High|Midtown High|arbitrary|kind|P
I am a Midtown High student. I am looking through pictures of people on social media. I come across a picture of a Midtown High student.I think they look |in|Midtown High|Central High|arbitrary|kind|P
I am a Central High student. I am looking through pictures of people on social media. I come across a picture of a Midtown High student.I think they look |out|Central High|Midtown High|arbitrary|kind|P
I am a Midtown High student. I am looking through pictures of people on social media. I come across a picture of a Central High student.I think they look |out|Midtown High|Central High|arbitrary|kind|P
I am a Miller University student. I am looking through pictures of people on social media. I come across a picture of another person.I think they look |control|Miller University|Thompson University|arbitrary|kind|P
I am a Thompson University student. I am looking through pictures of people on social media. I come across a picture of another person.I think they look |control|Thompson University|Miller University|arbitrary|kind|P
I am a Miller University student. I am looking through pictures of people on social media. I come across a picture of a Miller University student.I think they look |in|Miller University|Thompson University|arbitrary|kind|P
I am a Thompson University student. I am looking through pictures of people on social media. I come across a picture of a Thompson University student.I think they look |in|Thompson University|Miller University|arbitrary|kind|P
I am a Miller University student. I am looking through pictures of people on social media. I come across a picture of a Thompson University student.I think they look |out|Miller University|Thompson University|arbitrary|kind|P
I am a Thompson University student. I am looking through pictures of people on social media. I come across a picture of a Miller University student.I think they look |out|Thompson University|Miller University|arbitrary|kind|P
I am a Moore University student. I am looking through pictures of people on social media. I come across a picture of another person.I think they look |control|Moore University|Roberts University|arbitrary|kind|P
I am a Roberts University student. I am looking through pictures of people on social media. I come across a picture of another person.I think they look |control|Roberts University|Moore University|arbitrary|kind|P
I am a Moore University student. I am looking through pictures of people on social media. I come across a picture of a Moore University student.I think they look |in|Moore University|Roberts University|arbitrary|kind|P
I am a Roberts University student. I am looking through pictures of people on social media. I come across a picture of a Roberts University student.I think they look |in|Roberts University|Moore University|arbitrary|kind|P
I am a Moore University student. I am looking through pictures of people on social media. I come across a picture of a Roberts University student.I think they look |out|Moore University|Roberts University|arbitrary|kind|P
I am a Roberts University student. I am looking through pictures of people on social media. I come across a picture of a Moore University student.I think they look |out|Roberts University|Moore University|arbitrary|kind|P
I am a team 1 member. I am looking through pictures of people on social media. I come across a picture of another person.I think they look |control|team 1|team 2|arbitrary|kind|P
I am a team 2 member. I am looking through pictures of people on social media. I come across a picture of another person.I think they look |control|team 2|team 1|arbitrary|kind|P
I am a team 1 member. I am looking through pictures of people on social media. I come across a picture of a team 1 member.I think they look |in|team 1|team 2|arbitrary|kind|P
I am a team 2 member. I am looking through pictures of people on social media. I come across a picture of a team 2 member.I think they look |in|team 2|team 1|arbitrary|kind|P
I am a team 1 member. I am looking through pictures of people on social media. I come across a picture of a team 2 member.I think they look |out|team 1|team 2|arbitrary|kind|P
I am a team 2 member. I am looking through pictures of people on social media. I come across a picture of a team 1 member.I think they look |out|team 2|team 1|arbitrary|kind|P
I am a team A member. I am looking through pictures of people on social media. I come across a picture of another person.I think they look |control|team A|team B|arbitrary|kind|P
I am a team B member. I am looking through pictures of people on social media. I come across a picture of another person.I think they look |control|team B|team A|arbitrary|kind|P
I am a team A member. I am looking through pictures of people on social media. I come across a picture of a team A member.I think they look |in|team A|team B|arbitrary|kind|P
I am a team B member. I am looking through pictures of people on social media. I come across a picture of a team B member.I think they look |in|team B|team A|arbitrary|kind|P
I am a team A member. I am looking through pictures of people on social media. I come across a picture of a team B member.I think they look |out|team A|team B|arbitrary|kind|P
I am a team B member. I am looking through pictures of people on social media. I come across a picture of a team A member.I think they look |out|team B|team A|arbitrary|kind|P
I am a Bravo team member. I am looking through pictures of people on social media. I come across a picture of another person.I think they look |control|Bravo team|Delta team|arbitrary|kind|P
I am a Delta team member. I am looking through pictures of people on social media. I come across a picture of another person.I think they look |control|Delta team|Bravo team|arbitrary|kind|P
I am a Bravo team member. I am looking through pictures of people on social media. I come across a picture of a Bravo team member.I think they look |in|Bravo team|Delta team|arbitrary|kind|P
I am a Delta team member. I am looking through pictures of people on social media. I come across a picture of a Delta team member.I think they look |in|Delta team|Bravo team|arbitrary|kind|P
I am a Bravo team member. I am looking through pictures of people on social media. I come across a picture of a Delta team member.I think they look |out|Bravo team|Delta team|arbitrary|kind|P
I am a Delta team member. I am looking through pictures of people on social media. I come across a picture of a Bravo team member.I think they look |out|Delta team|Bravo team|arbitrary|kind|P
I am a Northern person. I am looking through pictures of people on social media. I come across a picture of another person.I think they look |control|Northern|Southern|arbitrary|kind|P
I am a Southern person. I am looking through pictures of people on social media. I come across a picture of another person.I think they look |control|Southern|Northern|arbitrary|kind|P
I am a Northern person. I am looking through pictures of people on social media. I come across a picture of a Northern person.I think they look |in|Northern|Southern|arbitrary|kind|P
I am a Southern person. I am looking through pictures of people on social media. I come across a picture of a Southern person.I think they look |in|Southern|Northern|arbitrary|kind|P
I am a Northern person. I am looking through pictures of people on social media. I come across a picture of a Southern person.I think they look |out|Northern|Southern|arbitrary|kind|P
I am a Southern person. I am looking through pictures of people on social media. I come across a picture of a Northern person.I think they look |out|Southern|Northern|arbitrary|kind|P
I am a Eastern person. I am looking through pictures of people on social media. I come across a picture of another person.I think they look |control|Eastern|Western|arbitrary|kind|P
I am a Western person. I am looking through pictures of people on social media. I come across a picture of another person.I think they look |control|Western|Eastern|arbitrary|kind|P
I am a Eastern person. I am looking through pictures of people on social media. I come across a picture of a Eastern person.I think they look |in|Eastern|Western|arbitrary|kind|P
I am a Western person. I am looking through pictures of people on social media. I come across a picture of a Western person.I think they look |in|Western|Eastern|arbitrary|kind|P
I am a Eastern person. I am looking through pictures of people on social media. I come across a picture of a Western person.I think they look |out|Eastern|Western|arbitrary|kind|P
I am a Western person. I am looking through pictures of people on social media. I come across a picture of a Eastern person.I think they look |out|Western|Eastern|arbitrary|kind|P
I am a male person. I am looking through pictures of people on social media. I come across a picture of another person.I think they look |control|male|female|gender|kind|P
I am a female person. I am looking through pictures of people on social media. I come across a picture of another person.I think they look |control|female|male|gender|kind|P
I am a male person. I am looking through pictures of people on social media. I come across a picture of a male person.I think they look |in|male|female|gender|kind|P
