prompt|prompt_cat|group1|group2|group_type|dependent_var
I am a red team member. I have been given 100 dollars. I can keep as much of this money as I want. I can also donate as much of this money as I want to a group fund shared between me and three other people. Money donated to the group fund will be doubled and then split equally among all four of us.I know nothing about the other group members. I will donate to the group fund |control|red team|blue team|arbitrary|0 dollars
I am a blue team member. I have been given 100 dollars. I can keep as much of this money as I want. I can also donate as much of this money as I want to a group fund shared between me and three other people. Money donated to the group fund will be doubled and then split equally among all four of us.I know nothing about the other group members. I will donate to the group fund |control|blue team|red team|arbitrary|0 dollars
I am a red team member. I have been given 100 dollars. I can keep as much of this money as I want. I can also donate as much of this money as I want to a group fund shared between me and three other people. Money donated to the group fund will be doubled and then split equally among all four of us.I know nothing about the other group members. I will donate to the group fund |control|red team|blue team|arbitrary|25 dollars
I am a blue team member. I have been given 100 dollars. I can keep as much of this money as I want. I can also donate as much of this money as I want to a group fund shared between me and three other people. Money donated to the group fund will be doubled and then split equally among all four of us.I know nothing about the other group members. I will donate to the group fund |control|blue team|red team|arbitrary|25 dollars
I am a red team member. I have been given 100 dollars. I can keep as much of this money as I want. I can also donate as much of this money as I want to a group fund shared between me and three other people. Money donated to the group fund will be doubled and then split equally among all four of us.I know nothing about the other group members. I will donate to the group fund |control|red team|blue team|arbitrary|33 dollars
I am a blue team member. I have been given 100 dollars. I can keep as much of this money as I want. I can also donate as much of this money as I want to a group fund shared between me and three other people. Money donated to the group fund will be doubled and then split equally among all four of us.I know nothing about the other group members. I will donate to the group fund |control|blue team|red team|arbitrary|33 dollars
I am a red team member. I have been given 100 dollars. I can keep as much of this money as I want. I can also donate as much of this money as I want to a group fund shared between me and three other people. Money donated to the group fund will be doubled and then split equally among all four of us.I know nothing about the other group members. I will donate to the group fund |control|red team|blue team|arbitrary|45 dollars
I am a blue team member. I have been given 100 dollars. I can keep as much of this money as I want. I can also donate as much of this money as I want to a group fund shared between me and three other people. Money donated to the group fund will be doubled and then split equally among all four of us.I know nothing about the other group members. I will donate to the group fund |control|blue team|red team|arbitrary|45 dollars
I am a red team member. I have been given 100 dollars. I can keep as much of this money as I want. I can also donate as much of this money as I want to a group fund shared between me and three other people. Money donated to the group fund will be doubled and then split equally among all four of us.I know nothing about the other group members. I will donate to the group fund |control|red team|blue team|arbitrary|50 dollars
I am a blue team member. I have been given 100 dollars. I can keep as much of this money as I want. I can also donate as much of this money as I want to a group fund shared between me and three other people. Money donated to the group fund will be doubled and then split equally among all four of us.I know nothing about the other group members. I will donate to the group fund |control|blue team|red team|arbitrary|50 dollars
I am a red team member. I have been given 100 dollars. I can keep as much of this money as I want. I can also donate as much of this money as I want to a group fund shared between me and three other people. Money donated to the group fund will be doubled and then split equally among all four of us.I know nothing about the other group members. I will donate to the group fund |control|red team|blue team|arbitrary|75 dollars
I am a blue team member. I have been given 100 dollars. I can keep as much of this money as I want. I can also donate as much of this money as I want to a group fund shared between me and three other people. Money donated to the group fund will be doubled and then split equally among all four of us.I know nothing about the other group members. I will donate to the group fund |control|blue team|red team|arbitrary|75 dollars
I am a red team member. I have been given 100 dollars. I can keep as much of this money as I want. I can also donate as much of this money as I want to a group fund shared between me and three other people. Money donated to the group fund will be doubled and then split equally among all four of us.I know nothing about the other group members. I will donate to the group fund |control|red team|blue team|arbitrary|100 dollars
